starttime	seconds	ctime	dtime	ttime	wait
Fri Mar 03 16:31:44 2023	1677857504	0	76	76	76
Fri Mar 03 16:31:47 2023	1677857507	0	76	76	76
Fri Mar 03 16:31:47 2023	1677857507	0	76	77	76
Fri Mar 03 16:31:47 2023	1677857507	0	77	77	59
Fri Mar 03 16:31:47 2023	1677857507	0	77	77	75
Fri Mar 03 16:31:47 2023	1677857507	0	77	77	77
Fri Mar 03 16:31:48 2023	1677857508	0	77	77	77
Fri Mar 03 16:31:42 2023	1677857502	0	77	78	77
Fri Mar 03 16:31:47 2023	1677857507	0	78	78	77
Fri Mar 03 16:31:47 2023	1677857507	0	78	78	66
Fri Mar 03 16:31:47 2023	1677857507	0	78	78	77
Fri Mar 03 16:31:44 2023	1677857504	0	78	78	75
Fri Mar 03 16:31:47 2023	1677857507	0	78	78	78
Fri Mar 03 16:31:48 2023	1677857508	0	78	78	77
Fri Mar 03 16:31:47 2023	1677857507	0	78	78	60
Fri Mar 03 16:31:47 2023	1677857507	0	78	78	78
Fri Mar 03 16:31:44 2023	1677857504	0	79	79	78
Fri Mar 03 16:31:47 2023	1677857507	0	79	79	78
Fri Mar 03 16:31:46 2023	1677857506	0	79	79	78
Fri Mar 03 16:31:47 2023	1677857507	0	79	79	77
Fri Mar 03 16:31:46 2023	1677857506	0	79	79	78
Fri Mar 03 16:31:47 2023	1677857507	0	79	79	78
Fri Mar 03 16:31:42 2023	1677857502	0	80	80	79
Fri Mar 03 16:31:46 2023	1677857506	0	80	80	80
Fri Mar 03 16:31:45 2023	1677857505	0	80	80	79
Fri Mar 03 16:31:43 2023	1677857503	0	80	80	69
Fri Mar 03 16:31:48 2023	1677857508	0	80	80	80
Fri Mar 03 16:31:44 2023	1677857504	0	80	81	80
Fri Mar 03 16:31:47 2023	1677857507	0	80	81	80
Fri Mar 03 16:31:48 2023	1677857508	0	81	81	78
Fri Mar 03 16:31:47 2023	1677857507	0	81	81	80
Fri Mar 03 16:31:47 2023	1677857507	0	81	81	79
Fri Mar 03 16:31:47 2023	1677857507	0	81	81	78
Fri Mar 03 16:31:44 2023	1677857504	0	81	81	81
