starttime	seconds	ctime	dtime	ttime	wait
Fri Mar 03 16:29:50 2023	1677857390	0	51	51	51
Fri Mar 03 16:29:51 2023	1677857391	0	51	51	51
Fri Mar 03 16:29:49 2023	1677857389	0	51	51	36
Fri Mar 03 16:29:53 2023	1677857393	0	52	52	42
Fri Mar 03 16:29:51 2023	1677857391	0	52	52	51
Fri Mar 03 16:29:51 2023	1677857391	0	52	52	51
Fri Mar 03 16:29:55 2023	1677857395	0	52	52	51
Fri Mar 03 16:29:51 2023	1677857391	0	52	52	52
Fri Mar 03 16:29:53 2023	1677857393	0	52	52	51
Fri Mar 03 16:29:55 2023	1677857395	0	52	52	35
Fri Mar 03 16:29:54 2023	1677857394	0	53	53	52
Fri Mar 03 16:29:52 2023	1677857392	0	53	53	52
Fri Mar 03 16:29:51 2023	1677857391	0	53	53	52
Fri Mar 03 16:29:50 2023	1677857390	0	53	53	52
Fri Mar 03 16:29:55 2023	1677857395	0	53	53	53
Fri Mar 03 16:29:50 2023	1677857390	0	53	53	53
Fri Mar 03 16:29:51 2023	1677857391	0	53	54	53
Fri Mar 03 16:29:48 2023	1677857388	0	54	54	53
Fri Mar 03 16:29:52 2023	1677857392	0	54	54	53
Fri Mar 03 16:29:55 2023	1677857395	0	54	54	53
Fri Mar 03 16:29:55 2023	1677857395	0	55	55	54
Fri Mar 03 16:29:51 2023	1677857391	0	55	55	54
Fri Mar 03 16:29:51 2023	1677857391	0	55	55	54
Fri Mar 03 16:29:50 2023	1677857390	0	55	55	53
Fri Mar 03 16:29:51 2023	1677857391	0	55	55	55
Fri Mar 03 16:29:55 2023	1677857395	0	55	55	55
Fri Mar 03 16:29:51 2023	1677857391	0	56	56	55
Fri Mar 03 16:29:52 2023	1677857392	0	56	56	55
Fri Mar 03 16:29:51 2023	1677857391	0	57	57	56
Fri Mar 03 16:29:49 2023	1677857389	0	57	57	54
Fri Mar 03 16:29:51 2023	1677857391	0	57	57	57
Fri Mar 03 16:29:55 2023	1677857395	0	57	57	57
Fri Mar 03 16:29:54 2023	1677857394	0	57	57	57
Fri Mar 03 16:29:51 2023	1677857391	0	57	58	54
Fri Mar 03 16:29:52 2023	1677857392	0	58	58	57
Fri Mar 03 16:29:55 2023	1677857395	0	58	58	57
Fri Mar 03 16:29:52 2023	1677857392	0	58	58	57
Fri Mar 03 16:29:52 2023	1677857392	0	58	58	58
Fri Mar 03 16:29:51 2023	1677857391	0	58	58	52
Fri Mar 03 16:29:52 2023	1677857392	0	58	58	58
Fri Mar 03 16:29:53 2023	1677857393	0	58	58	43
Fri Mar 03 16:29:52 2023	1677857392	0	59	59	58
Fri Mar 03 16:29:55 2023	1677857395	0	59	59	58
Fri Mar 03 16:29:55 2023	1677857395	0	59	59	58
Fri Mar 03 16:29:51 2023	1677857391	0	59	59	58
Fri Mar 03 16:29:48 2023	1677857388	0	59	59	56
Fri Mar 03 16:29:52 2023	1677857392	0	59	59	59
Fri Mar 03 16:29:55 2023	1677857395	0	59	59	59
Fri Mar 03 16:29:55 2023	1677857395	0	59	59	59
Fri Mar 03 16:29:51 2023	1677857391	0	59	59	59
Fri Mar 03 16:29:50 2023	1677857390	0	59	59	58
Fri Mar 03 16:29:52 2023	1677857392	0	59	59	58
Fri Mar 03 16:29:49 2023	1677857389	0	59	59	59
Fri Mar 03 16:29:51 2023	1677857391	0	60	60	59
Fri Mar 03 16:29:51 2023	1677857391	0	60	60	59
Fri Mar 03 16:29:55 2023	1677857395	0	60	60	59
Fri Mar 03 16:29:55 2023	1677857395	0	60	60	59
Fri Mar 03 16:29:49 2023	1677857389	0	60	60	59
Fri Mar 03 16:29:52 2023	1677857392	0	60	60	59
Fri Mar 03 16:29:51 2023	1677857391	0	60	60	60
Fri Mar 03 16:29:52 2023	1677857392	0	60	60	60
Fri Mar 03 16:29:55 2023	1677857395	0	60	60	60
Fri Mar 03 16:29:55 2023	1677857395	0	60	60	60
Fri Mar 03 16:29:51 2023	1677857391	0	61	61	59
Fri Mar 03 16:29:48 2023	1677857388	0	61	61	60
Fri Mar 03 16:29:51 2023	1677857391	0	61	61	60
Fri Mar 03 16:29:48 2023	1677857388	0	61	61	61
Fri Mar 03 16:29:51 2023	1677857391	0	61	61	55
Fri Mar 03 16:29:52 2023	1677857392	0	61	61	61
Fri Mar 03 16:29:55 2023	1677857395	0	61	61	61
Fri Mar 03 16:29:48 2023	1677857388	0	62	62	61
Fri Mar 03 16:29:51 2023	1677857391	0	61	62	61
Fri Mar 03 16:29:54 2023	1677857394	0	62	62	59
Fri Mar 03 16:29:52 2023	1677857392	0	62	62	58
Fri Mar 03 16:29:51 2023	1677857391	0	62	62	61
Fri Mar 03 16:29:52 2023	1677857392	0	62	62	61
Fri Mar 03 16:29:54 2023	1677857394	0	62	62	61
Fri Mar 03 16:29:51 2023	1677857391	0	62	62	60
Fri Mar 03 16:29:48 2023	1677857388	0	63	63	38
Fri Mar 03 16:29:48 2023	1677857388	0	63	63	62
Fri Mar 03 16:29:51 2023	1677857391	0	63	63	62
Fri Mar 03 16:29:51 2023	1677857391	0	63	63	62
Fri Mar 03 16:29:51 2023	1677857391	0	63	63	62
Fri Mar 03 16:29:52 2023	1677857392	0	63	63	63
Fri Mar 03 16:29:52 2023	1677857392	0	64	64	63
Fri Mar 03 16:29:55 2023	1677857395	0	64	64	63
